date,peak_load,weekday,workday,temperature,holiday
2017-01-01,22886,6,0,20.0,2
2017-01-02,24483,0,0,20.9,2
2017-01-03,28131,1,1,21.1,0
2017-01-04,28485,2,1,21.0,0
2017-01-05,28336,3,1,20.8,0
2017-01-06,28002,4,1,20.8,0
2017-01-07,25600,5,0,21.7,2
2017-01-08,24133,6,0,21.9,2
2017-01-09,27670,0,1,19.9,0
2017-01-10,27787,1,1,19.1,0
2017-01-11,27992,2,1,19.8,0
2017-01-12,28186,3,1,20.2,0
2017-01-13,27161,4,1,18.2,0
2017-01-14,24726,5,0,15.7,2
2017-01-15,24156,6,0,15.9,2
2017-01-16,27370,0,1,16.4,0
2017-01-17,27768,1,1,18.4,0
2017-01-18,27768,2,1,19.7,0
2017-01-19,27768,3,1,20.6,0
2017-01-20,26889,4,1,16.7,0
2017-01-21,24905,5,0,15.4,2
2017-01-22,24230,6,0,16.6,2
2017-01-23,26943,0,1,16.7,0
2017-01-24,26779,1,1,17.2,0
2017-01-25,25905,2,1,16.8,0
2017-01-26,23012,3,1,17.3,0
2017-01-27,20214,4,0,17.3,6
2017-01-28,19672,5,0,18.8,6
2017-01-29,19906,6,0,21.2,6
2017-01-30,20118,0,0,20.7,6
2017-01-31,21188,1,0,18.5,6
2017-02-01,22191,2,0,18.9,6
2017-02-02,24722,3,1,17.8,0
2017-02-03,25592,4,1,18.9,0
2017-02-04,24355,5,0,19.6,2
2017-02-05,23414,6,0,19.7,2
2017-02-06,26414,0,1,19.6,0
2017-02-07,26899,1,1,18.9,0
2017-02-08,27120,2,1,18.6,0
2017-02-09,27088,3,1,13.5,0
2017-02-10,27086,4,1,13.1,0
2017-02-11,24557,5,0,14.0,2
2017-02-12,23991,6,0,15.7,2
2017-02-13,26862,0,1,17.6,0
2017-02-14,27193,1,1,18.2,0
2017-02-15,27232,2,1,17.4,0
2017-02-16,27174,3,1,18.8,0
2017-02-17,27241,4,1,20.3,0
2017-02-18,26165,5,1,19.8,0
2017-02-19,23850,6,0,19.9,1
2017-02-20,27718,0,1,22.7,0
2017-02-21,27762,1,1,22.1,0
2017-02-22,28295,2,1,20.8,0
2017-02-23,27527,3,1,19.7,0
2017-02-24,27141,4,1,13.9,0
2017-02-25,24638,5,0,14.4,4
2017-02-26,23343,6,0,14.6,4
2017-02-27,24078,0,0,16.2,4
2017-02-28,25022,1,0,17.9,4
2017-03-01,27261,2,1,18.9,0
2017-03-02,27074,3,1,17.9,0
2017-03-03,26914,4,1,17.7,0
2017-03-04,24746,5,0,20.8,2
2017-03-05,23990,6,0,22.4,2
2017-03-06,27068,0,1,18.9,0
2017-03-07,27568,1,1,15.7,0
2017-03-08,27767,2,1,15.0,0
2017-03-09,27844,3,1,19.0,0
2017-03-10,27892,4,1,20.5,0
2017-03-11,25149,5,0,21.5,2
2017-03-12,24368,6,0,22.3,2
2017-03-13,27892,0,1,23.7,0
2017-03-14,27769,1,1,16.6,0
2017-03-15,27774,2,1,18.0,0
2017-03-16,28098,3,1,18.0,0
2017-03-17,27896,4,1,19.8,0
2017-03-18,25239,5,0,21.9,2
2017-03-19,24394,6,0,22.2,2
2017-03-20,28453,0,1,23.6,0
2017-03-21,28197,1,1,23.4,0
2017-03-22,28095,2,1,21.7,0
2017-03-23,28035,3,1,22.4,0
2017-03-24,27872,4,1,22.8,0
2017-03-25,24624,5,0,19.6,2
2017-03-26,23892,6,0,14.9,2
2017-03-27,27222,0,1,19.7,0
2017-03-28,27766,1,1,20.6,0
2017-03-29,28022,2,1,22.2,0
2017-03-30,27974,3,1,23.0,0
2017-03-31,28040,4,1,21.5,0
2017-04-01,24245,5,0,17.8,2
2017-04-02,22905,6,0,18.6,2
2017-04-03,22797,0,0,19.9,2
2017-04-04,23637,1,0,21.0,2
